cluster_number	gene	z_score
0	MYH7	79.53787994384766
0	MYL2	63.3561897277832
0	MYL3	53.48060607910156
0	FHL2	44.38111877441406
0	SLC8A1	37.007015228271484
0	LBH	35.08386993408203
0	NAV1	34.78422546386719
0	SORBS2	34.45882034301758
0	NREP	33.707000732421875
0	HSPB7	32.832275390625
0	TNNI3	32.45902633666992
0	LGALS3	30.65567970275879
0	TNNI1	30.187761306762695
0	FABP3	29.227933883666992
0	MYOM1	28.72130584716797
0	TNNC1	27.543540954589844
0	BANCR	27.266542434692383
0	COX6A2	26.3149471282959
0	RRAD	25.737407684326172
0	TTN	25.288705825805664
0	TGM2	24.941003799438477
0	SLC25A4	24.42283058166504
0	POPDC2	24.276729583740234
0	S100A4	24.256027221679688
0	MTUS2	23.631290435791016
0	RP11-532N4.2	23.351987838745117
0	MYBPC3	22.8238582611084
0	TNNT2	22.639541625976562
0	SMYD1	22.615163803100586
0	HSPB3	22.47492027282715
0	SH3BGR	22.379718780517578
0	ACTN2	22.087778091430664
0	COX7A1	22.028902053833008
0	GJA1	21.951200485229492
0	SLC27A6	21.348155975341797
0	FGF18	21.253582000732422
0	ACTC1	21.162120819091797
0	ATP1B1	21.050792694091797
0	LRRC10	20.671546936035156
0	PDLIM5	20.39825439453125
0	PLN	20.276933670043945
0	FZD1	20.035905838012695
0	CHCHD10	19.867782592773438
0	PKP2	19.72736358642578
0	CRYAB	19.559656143188477
0	LDB3	19.556257247924805
0	PLCXD3	19.50217628479004
0	HOPX	19.496809005737305
0	MYOZ2	19.369874954223633
0	CSRP3	18.57956314086914
0	ENO3	18.43497085571289
0	LPL	18.428916931152344
0	NEBL	18.186220169067383
0	BCAM	18.155384063720703
0	IRX3	18.07560157775879
0	MGST3	18.04254150390625
0	MASP1	17.82774543762207
0	IRX4	17.74470329284668
0	NUDT4	17.58827018737793
0	ALDOA	17.564815521240234
0	COX5A	17.55611801147461
0	MYL9	17.473403930664062
0	MYL4	17.011201858520508
0	CTD-2545M3.8	16.97112464904785
0	BNIP3	16.937969207763672
0	PAIP2B	16.861345291137695
0	FITM1	16.798337936401367
0	SH3RF2	16.761703491210938
0	MYZAP	16.673866271972656
0	PCDH7	16.633365631103516
0	MT-ND1	16.595203399658203
0	MITF	16.28242301940918
0	XPO4	16.03333854675293
0	DES	15.993106842041016
0	MEF2A	15.921149253845215
0	HEY2	15.899535179138184
0	RP11-432J24.5	15.726534843444824
0	TCAP	15.643749237060547
0	NEXN	15.570213317871094
0	CRIP2	15.564984321594238
0	SNTA1	15.550299644470215
0	TCEA3	15.50849723815918
0	CASQ2	15.50697135925293
0	BBS9	15.387066841125488
0	MDH1	15.363170623779297
0	CRIP1	15.274556159973145
0	NKX2-5	15.247379302978516
0	ALDOC	15.075657844543457
0	NPNT	15.048847198486328
0	TMOD1	14.992618560791016
0	PYGB	14.93824291229248
0	CKMT2	14.804316520690918
0	KRT1	14.79544734954834
0	PHOSPHO1	14.763073921203613
0	PFKP	14.740925788879395
0	PHACTR1	14.694879531860352
0	PPP1R16A	14.570321083068848
0	S100A6	14.560511589050293
0	MYH7B	14.426872253417969
0	TRIM63	14.273703575134277
0	FAM134B	14.17497730255127
0	CLU	14.150321006774902
0	HACD1	14.115314483642578
0	GYPB	14.10775375366211
0	LINC00982	14.038789749145508
0	HBM	13.978851318359375
0	COBL	13.90822982788086
0	COL18A1	13.799901962280273
0	ALAS2	13.71750259399414
0	C1QTNF1-AS1	13.712461471557617
0	MB	13.704469680786133
0	HEMGN	13.65475845336914
0	EMC10	13.537242889404297
0	HAND1	13.532177925109863
0	SYNGR2	13.526841163635254
0	LSMEM2	13.396952629089355
0	UNC45B	13.377913475036621
0	CTNNA3	13.313891410827637
0	FAM195A	13.266357421875
0	CADM1	13.266229629516602
0	FAM162A	13.265480995178223
0	APOBEC2	13.189022064208984
0	UPK3B	13.084790229797363
0	AHSP	13.0693359375
0	PERP	13.032573699951172
0	PRDM16	12.975525856018066
0	LINC00881	12.963172912597656
0	PPP1R14C	12.91572380065918
0	AKAP6	12.813492774963379
0	ASB2	12.801911354064941
0	EEF1A2	12.777389526367188
0	LAD1	12.7284574508667
0	XIRP1	12.727416038513184
0	LMOD3	12.637774467468262
0	FRMD5	12.548986434936523
0	PDE4DIP	12.498408317565918
0	OBSCN	12.465981483459473
0	SMPX	12.309703826904297
0	GYPA	12.289498329162598
0	PDLIM1	12.180350303649902
0	KRT18	12.15563678741455
0	RAMP1	12.096988677978516
0	SPHKAP	12.058438301086426
0	LINC01405	11.937854766845703
0	CTD-2194D22.3	11.918805122375488
0	RBP7	11.916489601135254
0	CKM	11.88743782043457
